Id,Date,Block Create,Fee Rate,Base_Info,Base_Amount,Quote_Info,Quote_Amount,TVL (Usd),Volume (Usd),Fees (Usd)
0xd28d852cbcc68dcec922f6d5c7a8185dbaa104b7,2024-11-17 9:00,24007,500,"{'id': '0x0e4aaf1351de4c0264c5c7056ef3777b41bd8e03', 'symbol': 'HONEY', 'beraValue': '0.05441560836296490747188540570715349', 'usdValue': '1'}",312284480.8,"{'id': '0x7507c1dc16935b82698e4c63f2746a2fcf994df8', 'symbol': 'WBERA', 'beraValue': '1', 'usdValue': '18.26256990551045365577444695357215'}",16993150,622623118.7,8410875.35,4205.437675
0xfbe71d98f9d2c658d52a2d72994c717637c3dda1,2024-11-17 9:00,2132348,3000,"{'id': '0x0e4aaf1351de4c0264c5c7056ef3777b41bd8e03', 'symbol': 'HONEY', 'beraValue': '0.05441561158867783670040311295026422', 'usdValue': '1'}",214486504.6,"{'id': '0xe28afd8c634946833e89ee3f122c06d7c537e8a8', 'symbol': 'WETH', 'beraValue': '312.8543191680124488474787676702374', 'usdValue': '5713.524758703247782000810425256208'}",34967.80286,428973009.2,37478.30547,112.4349164
0xd69adb6fb5fd6d06e6ceec5405d95a37f96e3b96,2024-11-17 9:00,53405,500,"{'id': '0x0e4aaf1351de4c0264c5c7056ef3777b41bd8e03', 'symbol': 'HONEY', 'beraValue': '0.05441561493735048425677308015999783', 'usdValue': '1'}",303157361.2,"{'id': '0xd6d83af58a19cd14ef3cf6fe848c9a4d21e5727c', 'symbol': 'USDC', 'beraValue': '0.05564387592258727200239856338742391', 'usdValue': '1.016207013761600432922251240217754'}",301522270.5,609566425.3,240447.4587,120.2237293
0xa51afaf359d044f8e56fe74b9575f23142cd4b76,2024-11-17 9:00,3127699,3000,"{'id': '0x0e4aaf1351de4c0264c5c7056ef3777b41bd8e03', 'symbol': 'HONEY', 'beraValue': '0.05441561493735048425677308015999783', 'usdValue': '1'}",63729790.03,"{'id': '0xb43fd1dc4f02d81f962e98203b2cc4fd9e342964', 'symbol': 'PAW', 'beraValue': '1.840202405661403044474396864559881', 'usdValue': '33.60696154580846361457745758621329'}",2195403.674,127459580.1,1276810.446,3830.431337
